24,186.88529500848472,2.574449,0.3462444
49,567.919080742419,0.8156254,0.3413635
74,618.9479868420397,2.0316544,0.4127442
99,627.7596401937367,1.7117653,0.36246395
124,637.9962798934104,2.4134777,0.33052683
149,656.9045738400768,2.747001,0.33817226
174,648.0198359979503,1.8658507,0.32927567
199,644.1692055659258,0.5088446,0.38701063
224,649.062050571241,1.0452969,0.442532
249,651.2473199976197,2.4421468,0.44043612
274,652.1973144188746,3.2711515,0.35747382
299,648.6183590426527,2.7097907,0.37310982
324,641.6895801170331,2.240872,0.32174528
349,642.59505445509,3.2193036,0.41155764
374,645.1446971368083,1.2409718,0.45484874
399,645.3654296702057,1.9923503,0.45774463
424,637.2572208259451,2.3949308,0.36294037
449,647.8366800560977,2.345749,0.32215524
474,628.9561137993131,2.002568,0.4055209
499,637.4418106860053,2.1192272,0.3904742
